response_id,question_no,max_score,human_score,ai_score,ai_feedback,latency_s,input_tokens,output_tokens,cost_usd,error
31920918,Q8,10.0,9.0,8.0,"Solid understanding demonstrated; most correct judgments with appropriate reasoning, minor gaps in specific justifications for parts (d) and (e).",248.703,2145,2743,0.00128,
32233167,Q8,10.0,4.5,5.0,"Student demonstrated correct understanding of lyophilization alternatives and protein complexity but missed key concepts regarding antibody-drug conjugates, light protection, and co-solvent use.",400.975,2115,3416,0.001546,
31109675,Q8,10.0,6.0,7.0,Solid understanding of most concepts; missed specific packaging detail for light sensitivity and misunderstood the role of co‑solvents.,301.938,2080,2583,0.00121,
32025289,Q8,10.0,4.0,5.0,"Partial understanding demonstrated; strengths in protein instability and light‑sensitivity concepts, but missed key points on lyophilization alternatives, antibody‑directed targeting, and co‑solvent use.",354.745,2134,2758,0.001285,
31107494,Q8,10.0,5.0,6.0,"Correct identification of agree/disagree for all statements, but insufficient justification in most parts.",443.483,2050,3237,0.001469,
32270232,Q8,10.0,7.5,8.0,Strong understanding of most concepts; missed specific packaging detail for light safety and co-solvent safety nuance.,447.464,2210,3287,0.001503,
31107834,Q8,10.0,5.5,8.0,Solid understanding of most concepts; only missed the direction of antibody-drug conjugate relationship.,82.257,2069,4478,0.001967,
32422296,Q8,10.0,6.0,7.0,"Solid understanding of protein/peptide instability, antibody-drug conjugates, and light protection; missed the nuance on lyophilization necessity and co-solvent use.",76.522,2138,3244,0.001479,
31986862,Q8,10.0,7.5,7.0,Solid understanding of most concepts; missed specific mechanistic details in parts (b) and (c) and the safety nuance in (e).,220.039,2075,2666,0.001243,
32025351,Q8,10.0,5.0,5.0,Correct identification of agree/disagree positions but lacking the required explanatory details for each statement.,240.577,2023,2319,0.0011,
30720842,Q8,10.0,6.0,6.0,"Correct identification of agree/disagree positions but justifications often lacked the specific rubric‑required reasoning, resulting in partial credit.",295.926,2314,3505,0.001599,
31858929,Q8,10.0,3.0,2.0,"The response shows limited understanding of the concepts; only the agree/disagree judgments for parts (b) and (d) were correct, with insufficient justification in most cases.",272.3,2172,3099,0.001424,
31860192,Q8,10.0,4.5,3.0,"The student demonstrated correct directional judgments for three statements but missed the required explanatory details, resulting in a low overall score.",52.214,2152,2614,0.001229,
33350299,Q9,6.0,4.0,4.0,Correct calculations demonstrated; whole‑square conversion partially correct.,236.757,1340,2748,0.001213,
33213232,Q9,6.0,5.0,5.0,Solid understanding of dose calculations and most square allocations; only one square‑allocation error prevented full credit.,318.854,1305,2706,0.001193,
32842716,Q9,6.0,6.0,6.0,Excellent submission demonstrating correct calculations and rounding for all four individuals.,282.689,1427,2792,0.001238,
32885636,Q9,6.0,4.0,4.0,Correct calculations but incorrect whole‑square rounding for two family members.,457.543,1516,4259,0.001832,
33940304,Q9,6.0,6.0,6.0,Excellent submission that fully satisfies all rubric criteria for Q9.,57.588,1363,1967,0.000903,
33351708,Q9,6.0,2.0,2.0,Partial understanding of whole‑square dosing; missing calculation steps and incorrect dosing for two patients.,78.215,1300,2587,0.001145,
33427917,Q9,6.0,4.0,0.0,,29.405,0,0,0.0,"empty_choices: {'message': 'Provider timed out after 11099ms', 'code': 504}"
